,12:42:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
0,12:42:10 PM  all   15.92    0.00    6.43    5.25    0.00    2.08    0.00    0.02    0.00   70.30
1,12:42:10 PM    0   34.82    0.01   10.35    2.59    0.00    1.70    0.00    0.06    0.00   50.48
2,12:42:10 PM    1    5.82    0.00    4.40    7.04    0.00    2.76    0.00    0.00    0.00   79.97
3,12:42:10 PM    2    5.85    0.00    4.28    6.49    0.00    1.80    0.00    0.00    0.00   81.58
4,12:42:10 PM    3   35.95    0.00   11.84    0.07    0.00    2.78    0.00    0.01    0.00   49.35
5,12:42:10 PM    4   35.75    0.01   11.75    0.05    0.00    2.66    0.00    0.01    0.00   49.77
6,12:42:10 PM    5   35.55    0.01   11.78    0.05    0.00    2.61    0.00    0.01    0.00   50.01
7,12:42:10 PM    6   16.29    0.01    5.32   10.92    0.00    0.91    0.00    0.00    0.00   66.56
8,12:42:10 PM    7   11.77    0.00    4.81    0.02    0.00    0.71    0.00    0.01    0.00   82.69
9,12:42:10 PM    8   11.63    0.00    4.76    0.01    0.00    0.69    0.00    0.01    0.00   82.90
10,12:42:10 PM    9   11.59    0.00    4.72    0.01    0.00    0.68    0.00    0.01    0.00   82.98
11,12:42:10 PM   10   12.36    0.00    4.99    0.01    0.00    0.75    0.00    0.01    0.00   81.88
12,12:42:10 PM   11   11.60    0.00    4.69    0.02    0.00    0.67    0.00    0.01    0.00   83.01
