Linux 4.4.0-116-generic (aio1) 	03/14/2019 	_x86_64_	(12 CPU)

11:53:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:53:59 AM  all   15.92    0.00    6.44    5.25    0.00    2.08    0.00    0.02    0.00   70.29
11:53:59 AM    0   34.82    0.01   10.35    2.59    0.00    1.70    0.00    0.06    0.00   50.48
11:53:59 AM    1    5.82    0.00    4.40    7.04    0.00    2.76    0.00    0.00    0.00   79.97
11:53:59 AM    2    5.85    0.00    4.28    6.49    0.00    1.80    0.00    0.00    0.00   81.58
11:53:59 AM    3   36.29    0.00   11.95    0.07    0.00    2.81    0.00    0.01    0.00   48.88
11:53:59 AM    4   36.09    0.01   11.86    0.05    0.00    2.69    0.00    0.01    0.00   49.29
11:53:59 AM    5   35.89    0.01   11.89    0.05    0.00    2.63    0.00    0.01    0.00   49.53
11:53:59 AM    6   16.53    0.01    5.39   10.87    0.00    0.92    0.00    0.00    0.00   66.27
11:53:59 AM    7   11.96    0.00    4.89    0.02    0.00    0.72    0.00    0.01    0.00   82.41
11:53:59 AM    8   11.81    0.00    4.84    0.01    0.00    0.70    0.00    0.01    0.00   82.63
11:53:59 AM    9   11.78    0.00    4.80    0.01    0.00    0.69    0.00    0.01    0.00   82.71
11:53:59 AM   10   12.56    0.00    5.06    0.01    0.00    0.76    0.00    0.01    0.00   81.59
11:53:59 AM   11   11.78    0.00    4.76    0.02    0.00    0.68    0.00    0.01    0.00   82.74
